memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
1463,1,"Deputy Chair, Labour Party",767,2011-10-07T00:00:00,2013-07-04T00:00:00,,
1463,1,"Member, Labour Party National Executive Committee",803,2005-07-01T00:00:00,2010-05-06T00:00:00,,
1467,1,Leader of the Conservative Party,787,2005-12-06T00:00:00,2016-07-11T00:00:00,,
1467,1,"Deputy Chair, Conservative Party",766,2003-08-01T00:00:00,2004-07-31T00:00:00,,
1496,,"Vice-Chair, Conservative Party",823,2001-07-01T00:00:00,2005-07-01T00:00:00,,
1507,1,Deputy Speaker (Second Deputy Chairman of Ways and Means),814,2015-06-03T00:00:00,2017-05-03T00:00:00,,
1509,,"Member, Labour Party National Executive Committee",803,2000-07-01T00:00:00,2005-07-01T00:00:00,,
1510,1,Leader of the Labour Party,789,2010-09-25T00:00:00,2015-03-30T00:00:00,,
1513,1,Leader of the Liberal Democrats,785,2019-07-22T00:00:00,2019-12-13T00:00:00,,
1513,1,"Deputy Leader, Liberal Democrats",772,2017-06-20T00:00:00,2019-07-22T00:00:00,,
1514,1,"Deputy Leader, Scottish National Party",1097,2014-11-14T00:00:00,2016-10-13T00:00:00,,
1526,1,"Party Chair, Conservative Party",805,2023-02-07T00:00:00,,,
1540,1,Liberal Democrat Parliamentary Campaigns Chair,1094,2015-07-29T00:00:00,2016-06-28T00:00:00,,
1555,1,"Vice-Chair (Youth), Conservative Party",822,2005-07-01T00:00:00,2010-05-06T00:00:00,,
1563,1,Leader of the Liberal Democrats,785,2007-12-18T00:00:00,2015-05-08T00:00:00,,
1567,1,Chair of the Liberal Democrat Parliamentary Party,1087,2007-10-25T00:00:00,2012-11-01T00:00:00,,
1577,1,Mayor of London,802,2016-05-09T00:00:00,,,
1582,1,"Co-Chair, Conservative Party",764,2005-07-01T00:00:00,2010-05-06T00:00:00,,
1586,1,"Chair, Parliamentary Office of Science and Technology",1100,2010-11-16T00:00:00,2017-05-03T00:00:00,,
1587,1,"Member, Labour Party National Executive Committee",803,2007-06-01T00:00:00,2010-05-06T00:00:00,,
1591,1,Leader of the Liberal Democrats,785,2015-07-16T00:00:00,2017-07-20T00:00:00,,
1591,1,"Party Chair, Liberal Democrats",1098,2011-01-01T00:00:00,2014-12-31T00:00:00,,
1594,,Deputy First Minister of Northern Ireland,1106,2001-11-06T00:00:00,2002-10-14T00:00:00,,
1594,,Leader of the Social Democratic & Labour Party,794,2001-10-01T00:00:00,2010-05-06T00:00:00,,
1596,1,Leader of the  Social Democratic & Labour Party,786,2011-11-15T00:00:00,2015-03-30T00:00:00,,
1601,1,Parliamentary Assembly of the Council of Europe (Substitute Member),1084,2013-01-15T00:00:00,2015-03-30T00:00:00,,
1601,1,"Vice-Chair, Conservative Party",823,2012-09-01T00:00:00,2015-03-30T00:00:00,,
1601,1,"Deputy Chair, Conservative Party",766,2007-07-01T00:00:00,2010-05-06T00:00:00,,
1618,2,Principal Deputy Chairman of Committees,955,1992-05-06T00:00:00,1994-11-02T00:00:00,,
1649,2,Lord Speaker,1072,2006-07-04T00:00:00,2011-05-09T00:00:00,,
1722,1,"Deputy Chair, Conservative Party",766,1975-02-12T00:00:00,1991-08-04T00:00:00,,
1722,1,"Party Chair, Conservative Party",805,1974-02-28T00:00:00,1975-02-11T00:00:00,,
1729,2,Principal Deputy Chairman of Committees,955,1979-12-20T00:00:00,1982-11-03T00:00:00,,
1736,2,Convenor of the Crossbench Peers,1076,1995-06-20T00:00:00,1999-11-30T00:00:00,,
1736,1,Speaker of the House of Commons,817,1983-06-15T00:00:00,1992-04-09T00:00:00,,
1736,1,Deputy Speaker and Chairman of Ways and Means,760,1979-05-03T00:00:00,1983-06-15T00:00:00,,
1787,2,"Chairman of Committees, House of Lords",801,2001-03-29T00:00:00,2002-11-13T00:00:00,,
1787,2,Principal Deputy Chairman of Committees,955,1994-11-16T00:00:00,2001-03-29T00:00:00,,
1828,2,Deputy Speaker (Lords),1093,2010-11-29T00:00:00,2020-05-23T00:00:00,,
1828,2,Deputy Chairman of Committees (Lords),1092,2010-06-02T00:00:00,2021-05-20T00:00:00,,
1830,1,"Treasurer, Labour Party",821,1981-07-01T00:00:00,1983-07-01T00:00:00,,
1861,2,Deputy Chairman of Committees (Lords),1092,2014-06-12T00:00:00,2020-05-01T00:00:00,,
1861,2,Deputy Speaker (Lords),1093,2010-11-29T00:00:00,2020-05-01T00:00:00,,
1861,2,Deputy Chairman of Committees (Lords),1092,2010-06-02T00:00:00,2012-05-09T00:00:00,,
1916,2,Liberal Democrat Leader in the House of Lords,800,2016-09-13T00:00:00,,,
1961,1,Leader of the Ulster Unionist Party,797,1979-07-01T00:00:00,1995-07-01T00:00:00,,
1973,2,Liberal Democrat Leader in the House of Lords,800,1988-07-16T00:00:00,1997-12-19T00:00:00,,
2004,2,Convenor of the Crossbench Peers,1076,2015-09-28T00:00:00,2019-09-30T00:00:00,,
2005,2,Deputy Speaker (Lords),1093,1999-03-16T00:00:00,2018-03-05T00:00:00,,
2005,2,Deputy Chairman of Committees (Lords),1092,1993-03-29T00:00:00,2018-03-05T00:00:00,,
2017,2,Convenor of the Crossbench Peers,1076,1974-03-01T00:00:00,1995-06-19T00:00:00,,
2079,2,"Chairman of Committees, House of Lords",801,2015-09-07T00:00:00,2016-08-31T00:00:00,,
2079,2,Convenor of the Crossbench Peers,1076,2011-09-05T00:00:00,2015-09-28T00:00:00,,
2124,2,"Chairman of Committees, House of Lords",801,2012-05-09T00:00:00,2015-07-27T00:00:00,,
2124,2,Deputy Speaker (Lords),1093,2010-11-29T00:00:00,2015-07-27T00:00:00,,
2125,2,Principal Deputy Chairman of Committees,955,1986-11-12T00:00:00,1992-03-16T00:00:00,,
2134,2,Deputy Chairman of Committees (Lords),1092,2020-04-21T00:00:00,,,
2218,,Convenor of the Crossbench Peers,1076,1964-01-01T00:00:00,1974-02-28T00:00:00,,
2431,1,Deputy Speaker (Second Deputy Chairman of Ways and Means),814,1979-05-04T00:00:00,1981-02-23T00:00:00,,
2438,2,Convenor of the Crossbench Peers,1076,2004-09-07T00:00:00,2007-11-05T00:00:00,,
2465,1,"Member, Labour Party National Executive Committee",803,1987-07-01T00:00:00,1997-07-01T00:00:00,,
2465,1,"Party Chair, Labour Party",808,1977-07-01T00:00:00,1978-07-01T00:00:00,,
2465,1,"Member, Labour Party National Executive Committee",803,1967-07-01T00:00:00,1982-07-01T00:00:00,,
2472,2,Deputy Speaker (Lords),1093,2008-12-18T00:00:00,,,
2472,2,Deputy Chairman of Committees (Lords),1092,2007-11-13T00:00:00,,,
2478,2,Deputy Speaker (Lords),1093,2018-03-05T00:00:00,,,
2478,2,Deputy Chairman of Committees (Lords),1092,2017-11-06T00:00:00,2023-06-12T00:00:00,,
2501,2,Deputy Chairman of Committees (Lords),1092,2020-07-29T00:00:00,,,
2505,2,Deputy Speaker (Lords),1093,2008-12-18T00:00:00,2018-03-05T00:00:00,,
2505,2,Deputy Chairman of Committees (Lords),1092,2008-12-09T00:00:00,2018-03-05T00:00:00,,
2506,2,Deputy Speaker (Lords),1093,2008-12-18T00:00:00,,,
2506,2,Deputy Chairman of Committees (Lords),1092,2007-11-13T00:00:00,,,
2534,2,Deputy Speaker (Lords),1093,2018-03-05T00:00:00,2021-04-29T00:00:00,,
2534,2,Deputy Chairman of Committees (Lords),1092,2012-02-29T00:00:00,2021-04-29T00:00:00,,
2541,2,Deputy Speaker (Lords),1093,2008-12-18T00:00:00,2018-04-20T00:00:00,,
2541,2,Deputy Chairman of Committees (Lords),1092,2007-11-13T00:00:00,2018-04-20T00:00:00,,
2542,2,Deputy Chairman of Committees (Lords),1092,2023-06-12T00:00:00,,,
2542,2,"Party Chair, Liberal Democrats",1098,2009-01-01T00:00:00,2010-12-31T00:00:00,,
2547,2,Co-Deputy Leader of the Liberal Democrat Peers,1107,2017-10-01T00:00:00,,,
2595,2,Deputy Speaker (Lords),1093,2002-12-09T00:00:00,,,
2595,2,Deputy Chairman of Committees (Lords),1092,2000-04-18T00:00:00,,,
