memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
414,1.0,Assistant Whip (HM Treasury),351,2009-06-10T00:00:00,2010-05-06T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
414,1.0,Parliamentary Under-Secretary (Department for Education and Employment),467,1998-07-28T00:00:00,1999-07-29T00:00:00,Department for Education and Employment,
414,1.0,Deputy Chief Whip and Treasurer,48,1997-05-08T00:00:00,1998-07-27T00:00:00,HM Household,
417,1.0,Minister of State (Foreign and Commonwealth Office),424,1999-07-29T00:00:00,2001-06-07T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
417,1.0,Minister of State (Department of Trade and Industry),413,1997-05-06T00:00:00,1999-07-29T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
420,1.0,Secretary of State for Work and Pensions,744,2009-06-06T00:00:00,2010-05-06T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
420,1.0,Chief Secretary to the Treasury,36,2008-01-24T00:00:00,2009-06-05T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
420,1.0,Minister of State (Department of Communities and Local Government) (Housing),269,2007-06-28T00:00:00,2008-01-24T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
420,1.0,Minister of State (Department of Communities and Local Government) (Housing and Planning),266,2006-05-05T00:00:00,2007-06-28T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
420,1.0,Minister of State (Office of the Deputy Prime Minister) (Housing and Planning),265,2005-05-10T00:00:00,2006-05-05T00:00:00,Office of the Deputy Prime Minister,/https://www.gov.uk/government/ministers/deputy-prime-minister
420,1.0,Parliamentary Under-Secretary (Office of the Deputy Prime Minister) (Regeneration and Regional Developement),634,2003-06-13T00:00:00,2005-05-10T00:00:00,Office of the Deputy Prime Minister,/https://www.gov.uk/government/ministers/deputy-prime-minister
420,1.0,Parliamentary Secretary (Lord Chancellor's Department),455,2002-05-29T00:00:00,2003-06-13T00:00:00,Lord Chancellor's Department,http://www.lcd.gov.uk
420,1.0,Parliamentary Under-Secretary (Department of Health),296,1999-10-11T00:00:00,2002-05-28T00:00:00,Department of Health,http://www.dh.gov.uk
422,1.0,Parliamentary Under-Secretary (Department for Constitutional Affairs),497,2003-06-13T00:00:00,2005-05-05T00:00:00,Department for Constitutional Affairs,http://www.dca.gov.uk
422,1.0,Parliamentary Under-Secretary (Office of the Deputy Prime Minister),493,2002-05-29T00:00:00,2003-06-13T00:00:00,Office of the Deputy Prime Minister,/https://www.gov.uk/government/ministers/deputy-prime-minister
422,1.0,Parliamentary Secretary (Cabinet Office),462,2001-06-11T00:00:00,2002-05-29T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
426,1.0,Parliamentary Secretary (Board of Trade),353,1967-01-01T00:00:00,1970-01-01T00:00:00,Board of Trade,
427,1.0,Parliamentary Under-Secretary (Department for International Development),474,2010-05-13T00:00:00,2012-09-06T00:00:00,Department for International Development,http://www.dfid.gov.uk
429,1.0,Parliamentary Under-Secretary (Ministry of Defence) (Veterans),603,2006-09-06T00:00:00,2008-10-05T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
429,1.0,Parliamentary Under-Secretary (Department for Transport),459,2005-05-10T00:00:00,2006-09-06T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
429,1.0,Parliamentary Under-Secretary (Department for Education and Skills) (Schools),647,2004-12-16T00:00:00,2005-05-10T00:00:00,Department for Education and Skills,http://www.dfes.gov.uk
