BillID,id,stageId,sessionId,description,abbreviation,house,stageSittings,sortOrder
512,3082.0,14.0,23.0,Programme motion,PM,Commons,"[{'id': 2899, 'stageId': 14, 'billStageId': 3082, 'billId': 512, 'date': '2010-01-19T00:00:00'}, {'id': 2900, 'stageId': 14, 'billStageId': 3082, 'billId': 512, 'date': '2010-01-26T00:00:00'}]",10.0
512,3083.0,8.0,23.0,Committee stage,CS,Commons,"[{'id': 2901, 'stageId': 8, 'billStageId': 3083, 'billId': 512, 'date': '2010-01-19T00:00:00'}, {'id': 2902, 'stageId': 8, 'billStageId': 3083, 'billId': 512, 'date': '2010-01-26T00:00:00'}]",11.0
512,3122.0,15.0,23.0,Money resolution,MR,Commons,"[{'id': 2903, 'stageId': 15, 'billStageId': 3122, 'billId': 512, 'date': '2010-02-01T00:00:00'}]",12.0
512,3123.0,14.0,23.0,Programme motion,PM,Commons,"[{'id': 2904, 'stageId': 14, 'billStageId': 3123, 'billId': 512, 'date': '2010-02-01T00:00:00'}, {'id': 2992, 'stageId': 14, 'billStageId': 3123, 'billId': 512, 'date': '2010-03-02T00:00:00'}]",13.0
512,3124.0,8.0,23.0,Committee stage,CS,Commons,"[{'id': 2905, 'stageId': 8, 'billStageId': 3124, 'billId': 512, 'date': '2010-02-01T00:00:00'}, {'id': 2906, 'stageId': 8, 'billStageId': 3124, 'billId': 512, 'date': '2010-02-09T00:00:00'}]",14.0
512,3138.0,15.0,23.0,Money resolution,MR,Commons,"[{'id': 2907, 'stageId': 15, 'billStageId': 3138, 'billId': 512, 'date': '2010-02-09T00:00:00'}, {'id': 2993, 'stageId': 15, 'billStageId': 3138, 'billId': 512, 'date': '2010-03-02T00:00:00'}]",15.0
512,3173.0,9.0,23.0,Report stage,RS,Commons,"[{'id': 2908, 'stageId': 9, 'billStageId': 3173, 'billId': 512, 'date': '2010-03-02T00:00:00'}]",16.0
512,3209.0,10.0,23.0,3rd reading,3R,Commons,"[{'id': 2994, 'stageId': 10, 'billStageId': 3209, 'billId': 512, 'date': '2010-03-02T00:00:00'}]",17.0
512,3236.0,1.0,23.0,1st reading,1R,Lords,"[{'id': 2995, 'stageId': 1, 'billStageId': 3236, 'billId': 512, 'date': '2010-03-03T00:00:00'}]",18.0
512,3237.0,2.0,23.0,2nd reading,2R,Lords,"[{'id': 2996, 'stageId': 2, 'billStageId': 3237, 'billId': 512, 'date': '2010-03-24T00:00:00'}]",19.0
512,3348.0,3.0,23.0,Committee stage,CS,Lords,"[{'id': 3096, 'stageId': 3, 'billStageId': 3348, 'billId': 512, 'date': '2010-04-07T00:00:00'}]",20.0
515,2657.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2580, 'stageId': 6, 'billStageId': 2657, 'billId': 515, 'date': '2009-07-21T00:00:00'}]",1.0
515,13379.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
516,2659.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2581, 'stageId': 6, 'billStageId': 2659, 'billId': 516, 'date': '2009-07-21T00:00:00'}]",1.0
516,13380.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
517,2664.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2582, 'stageId': 6, 'billStageId': 2664, 'billId': 517, 'date': '2009-10-13T00:00:00'}]",1.0
517,13381.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
518,2669.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2583, 'stageId': 6, 'billStageId': 2669, 'billId': 518, 'date': '2009-10-14T00:00:00'}]",1.0
518,13382.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
519,2671.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2584, 'stageId': 6, 'billStageId': 2671, 'billId': 519, 'date': '2009-10-14T00:00:00'}]",1.0
519,13383.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
520,2682.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2585, 'stageId': 6, 'billStageId': 2682, 'billId': 520, 'date': '2009-10-20T00:00:00'}]",1.0
520,13384.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
521,2696.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2586, 'stageId': 6, 'billStageId': 2696, 'billId': 521, 'date': '2009-10-21T00:00:00'}]",1.0
521,13385.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
522,2710.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2587, 'stageId': 6, 'billStageId': 2710, 'billId': 522, 'date': '2009-10-27T00:00:00'}]",1.0
522,13386.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
523,2720.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2588, 'stageId': 6, 'billStageId': 2720, 'billId': 523, 'date': '2009-10-28T00:00:00'}]",1.0
523,13387.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
524,2738.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2589, 'stageId': 6, 'billStageId': 2738, 'billId': 524, 'date': '2009-11-03T00:00:00'}]",1.0
524,13388.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
525,2749.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2654, 'stageId': 6, 'billStageId': 2749, 'billId': 525, 'date': '2009-11-04T00:00:00'}]",1.0
525,13389.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
526,2762.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2655, 'stageId': 6, 'billStageId': 2762, 'billId': 526, 'date': '2009-11-09T00:00:00'}]",1.0
526,13390.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
527,2764.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2656, 'stageId': 6, 'billStageId': 2764, 'billId': 527, 'date': '2009-11-10T00:00:00'}]",1.0
527,13391.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
528,2766.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2657, 'stageId': 6, 'billStageId': 2766, 'billId': 528, 'date': '2009-11-10T00:00:00'}]",1.0
528,13392.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
529,2774.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2658, 'stageId': 6, 'billStageId': 2774, 'billId': 529, 'date': '2009-11-11T00:00:00'}]",1.0
529,13393.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
530,2775.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2659, 'stageId': 6, 'billStageId': 2775, 'billId': 530, 'date': '2009-11-11T00:00:00'}]",1.0
530,13394.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
531,2830.0,6.0,23.0,1st reading,1R,Commons,"[{'id': 2660, 'stageId': 6, 'billStageId': 2830, 'billId': 531, 'date': '2009-11-19T00:00:00'}]",1.0
531,2856.0,7.0,23.0,2nd reading,2R,Commons,"[{'id': 2661, 'stageId': 7, 'billStageId': 2856, 'billId': 531, 'date': '2010-01-11T00:00:00'}]",2.0
531,3021.0,14.0,23.0,Programme motion,PM,Commons,"[{'id': 2803, 'stageId': 14, 'billStageId': 3021, 'billId': 531, 'date': '2010-01-11T00:00:00'}]",3.0
531,3022.0,15.0,23.0,Money resolution,MR,Commons,"[{'id': 2804, 'stageId': 15, 'billStageId': 3022, 'billId': 531, 'date': '2010-01-11T00:00:00'}]",4.0
531,3023.0,8.0,23.0,Committee stage,CS,Commons,"[{'id': 2805, 'stageId': 8, 'billStageId': 3023, 'billId': 531, 'date': '2010-01-19T00:00:00'}, {'id': 2806, 'stageId': 8, 'billStageId': 3023, 'billId': 531, 'date': '2010-01-21T00:00:00'}, {'id': 2911, 'stageId': 8, 'billStageId': 3023, 'billId': 531, 'date': '2010-01-26T00:00:00'}, {'id': 2912, 'stageId': 8, 'billStageId': 3023, 'billId': 531, 'date': '2010-01-28T00:00:00'}, {'id': 2913, 'stageId': 8, 'billStageId': 3023, 'billId': 531, 'date': '2010-02-02T00:00:00'}, {'id': 2914, 'stageId': 8, 'billStageId': 3023, 'billId': 531, 'date': '2010-02-04T00:00:00'}]",5.0
531,3135.0,9.0,23.0,Report stage,RS,Commons,"[{'id': 2909, 'stageId': 9, 'billStageId': 3135, 'billId': 531, 'date': '2010-02-23T00:00:00'}]",6.0
531,3136.0,10.0,23.0,3rd reading,3R,Commons,"[{'id': 2910, 'stageId': 10, 'billStageId': 3136, 'billId': 531, 'date': '2010-02-23T00:00:00'}]",7.0
